mes,produto,credit_type,rating,qtd,volume_mm,pct_total,prazo_medio,ticket_medio
2024-01-31,EXPRESS_MLB_1,DINERO_EXPRESS,A,6748,37.463,0.1722,1.0,5552
2024-01-31,EXPRESS_POINT_MLB_1,DINERO_EXPRESS,B,16316,26.812,0.12324,1.0,1643
2024-01-31,EXPRESS_POINT_MLB_1,DINERO_EXPRESS,A,11613,19.524,0.08974,1.0,1681
2024-01-31,MER_MLB_1,MERCHANT,B,178,15.582,0.07162,15.22,87541
2024-01-31,MER_MLB_MA,MERCHANT,G,11777,14.405,0.06621,5.85,1223
2024-01-31,EXPRESS_MLB_1,DINERO_EXPRESS,B,5609,14.134,0.06497,1.0,2520
2024-01-31,MER_MLB_MA,MERCHANT,E,5124,8.575,0.03941,6.02,1673
2024-01-31,MER_MLB_MA,MERCHANT,H,8630,8.519,0.03915,5.82,987
2024-01-31,EXPRESS_POINT_MLB_1,DINERO_EXPRESS,C,5866,7.92,0.0364,1.0,1350
2024-01-31,MLB_EO_ONLINE,MERCHANT,B,3891,7.182,0.03301,5.87,1846
2024-01-31,EXPRESS_POINT_MLB_1,DINERO_EXPRESS,D,5135,6.012,0.02764,1.0,1171
2024-01-31,POINT_MLB_1,MERCHANT,B,3916,5.728,0.02633,5.93,1463
2024-01-31,MLB_EO_ONLINE,MERCHANT,G,3674,5.306,0.02439,5.65,1444
2024-01-31,EXPRESS_POINT_MLB_1,DINERO_EXPRESS,E,3913,4.352,0.02,1.0,1112
2024-01-31,MLB_EO_ONLINE,MERCHANT,E,2272,4.341,0.01996,5.77,1911
2024-01-31,EXPRESS_POINT_MLB_1,DINERO_EXPRESS,F,4419,4.302,0.01977,1.0,973
2024-01-31,EXPRESS_MLB_1,DINERO_EXPRESS,C,1870,3.966,0.01823,1.0,2121
2024-01-31,EXPRESS_MLB_1,DINERO_EXPRESS,D,1577,3.255,0.01496,1.0,2064
2024-01-31,EXPRESS_POINT_MLB_1,DINERO_EXPRESS,G,2713,2.47,0.01135,1.0,910
2024-01-31,EXPRESS_MLB_1,DINERO_EXPRESS,F,1495,2.391,0.01099,1.0,1600
2024-01-31,MLB_EO_ONLINE,MERCHANT,F,1381,2.365,0.01087,5.65,1712
