Credit_Creation_Month,MOB,OVER_30
2023-03-31,2,0.0506
2023-03-31,3,0.0598
2023-03-31,4,0.0628
2023-03-31,5,0.0641
2023-03-31,6,0.0647
2023-03-31,7,0.0646
2023-03-31,8,0.0641
2023-03-31,9,0.0633
2023-03-31,10,0.0615
2023-03-31,11,0.0602
2023-03-31,12,0.059
2023-03-31,13,0.0583
2023-03-31,14,0.0576
2023-03-31,15,0.0561
2023-03-31,16,0.0548
2023-03-31,17,0.0536
2023-03-31,18,0.0525
2023-04-30,2,0.0515
2023-04-30,3,0.0601
2023-04-30,4,0.0629
2023-04-30,5,0.0648
2023-04-30,6,0.0655
2023-04-30,7,0.0655
2023-04-30,8,0.0649
2023-04-30,9,0.0635
2023-04-30,10,0.0625
2023-04-30,11,0.0614
2023-04-30,12,0.0606
2023-04-30,13,0.0598
2023-04-30,14,0.0583
2023-04-30,15,0.0569
2023-04-30,16,0.0556
2023-04-30,17,0.0544
2023-04-30,18,0.0537
2023-05-31,2,0.0478
2023-05-31,3,0.0566
2023-05-31,4,0.0602
2023-05-31,5,0.062
2023-05-31,6,0.0624
2023-05-31,7,0.0619
2023-05-31,8,0.0609
2023-05-31,9,0.06
2023-05-31,10,0.059
2023-05-31,11,0.0582
2023-05-31,12,0.0575
2023-05-31,13,0.0564
2023-05-31,14,0.0549
2023-05-31,15,0.0536
2023-05-31,16,0.0523
2023-05-31,17,0.0515
2023-05-31,18,0.0484
2023-06-30,2,0.0536
2023-06-30,3,0.0634
2023-06-30,4,0.067
2023-06-30,5,0.0685
2023-06-30,6,0.0682
2023-06-30,7,0.0673
2023-06-30,8,0.0666
2023-06-30,9,0.0657
2023-06-30,10,0.0648
2023-06-30,11,0.064
2023-06-30,12,0.0631
2023-06-30,13,0.0616
2023-06-30,14,0.0601
2023-06-30,15,0.0587
2023-06-30,16,0.0577
2023-06-30,17,0.0544
2023-06-30,18,0.0511
2023-07-31,2,0.0623
2023-07-31,3,0.0785
2023-07-31,4,0.0849
2023-07-31,5,0.087
2023-07-31,6,0.0875
2023-07-31,7,0.0877
2023-07-31,8,0.0872
2023-07-31,9,0.0866
2023-07-31,10,0.0858
2023-07-31,11,0.0849
2023-07-31,12,0.0836
2023-07-31,13,0.0821
2023-07-31,14,0.0803
2023-07-31,15,0.079
2023-07-31,16,0.0749
2023-07-31,17,0.071
2023-07-31,18,0.068
2023-08-31,2,0.0544
2023-08-31,3,0.068
2023-08-31,4,0.0722
2023-08-31,5,0.0745
2023-08-31,6,0.0764
2023-08-31,7,0.0771
2023-08-31,8,0.0772
2023-08-31,9,0.077
2023-08-31,10,0.0764
2023-08-31,11,0.0755
2023-08-31,12,0.0746
2023-08-31,13,0.0731
2023-08-31,14,0.0719
2023-08-31,15,0.0681
2023-08-31,16,0.0643
2023-08-31,17,0.0619
2023-08-31,18,0.0602
2023-09-30,2,0.055
2023-09-30,3,0.0662
2023-09-30,4,0.071
2023-09-30,5,0.075
2023-09-30,6,0.0772
2023-09-30,7,0.0782
2023-09-30,8,0.0786
2023-09-30,9,0.0785
2023-09-30,10,0.0779
2023-09-30,11,0.0772
2023-09-30,12,0.0763
2023-09-30,13,0.0752
2023-09-30,14,0.0715
2023-09-30,15,0.0675
2023-09-30,16,0.0648
2023-09-30,17,0.0631
2023-09-30,18,0.0608
2023-10-31,2,0.0511
2023-10-31,3,0.0624
2023-10-31,4,0.0686
2023-10-31,5,0.0721
2023-10-31,6,0.0738
2023-10-31,7,0.0746
2023-10-31,8,0.0748
2023-10-31,9,0.0745
2023-10-31,10,0.0739
2023-10-31,11,0.0733
2023-10-31,12,0.0723
2023-10-31,13,0.0696
2023-10-31,14,0.0656
2023-10-31,15,0.0629
2023-10-31,16,0.061
