Credit_Creation_Month,MOB,OVER_30
2023-03-31,2,0.0683
2023-03-31,3,0.0713
2023-03-31,4,0.0759
2023-03-31,5,0.0827
2023-03-31,6,0.0851
2023-03-31,7,0.087
2023-03-31,8,0.0867
2023-03-31,9,0.0859
2023-03-31,10,0.0869
2023-03-31,11,0.0865
2023-03-31,12,0.0861
2023-03-31,13,0.0857
2023-03-31,14,0.085
2023-03-31,15,0.0847
2023-03-31,16,0.0846
2023-03-31,17,0.0836
2023-03-31,18,0.0835
2023-04-30,2,0.0922
2023-04-30,3,0.0925
2023-04-30,4,0.0941
2023-04-30,5,0.0962
2023-04-30,6,0.0982
2023-04-30,7,0.1004
2023-04-30,8,0.1002
2023-04-30,9,0.0998
2023-04-30,10,0.1
2023-04-30,11,0.1001
2023-04-30,12,0.0999
2023-04-30,13,0.0996
2023-04-30,14,0.0995
2023-04-30,15,0.0994
2023-04-30,16,0.0992
2023-04-30,17,0.0991
2023-04-30,18,0.0986
2023-05-31,2,0.0782
2023-05-31,3,0.0803
2023-05-31,4,0.0837
2023-05-31,5,0.087
2023-05-31,6,0.0877
2023-05-31,7,0.0875
2023-05-31,8,0.0889
2023-05-31,9,0.089
2023-05-31,10,0.0882
2023-05-31,11,0.088
2023-05-31,12,0.0897
2023-05-31,13,0.0919
2023-05-31,14,0.0911
2023-05-31,15,0.0909
2023-05-31,16,0.0907
2023-05-31,17,0.0882
2023-05-31,18,0.0879
2023-06-30,2,0.0662
2023-06-30,3,0.071
2023-06-30,4,0.0748
2023-06-30,5,0.0794
2023-06-30,6,0.083
2023-06-30,7,0.0832
2023-06-30,8,0.0863
2023-06-30,9,0.0892
2023-06-30,10,0.0905
2023-06-30,11,0.0909
2023-06-30,12,0.0929
2023-06-30,13,0.093
2023-06-30,14,0.093
2023-06-30,15,0.0936
2023-06-30,16,0.0936
2023-06-30,17,0.0935
2023-06-30,18,0.094
2023-07-31,2,0.0806
2023-07-31,3,0.0881
2023-07-31,4,0.0932
2023-07-31,5,0.0955
2023-07-31,6,0.0995
2023-07-31,7,0.1004
2023-07-31,8,0.0997
2023-07-31,9,0.1006
2023-07-31,10,0.1012
2023-07-31,11,0.1021
2023-07-31,12,0.1018
2023-07-31,13,0.1015
2023-07-31,14,0.1013
2023-07-31,15,0.1011
2023-07-31,16,0.1009
2023-07-31,17,0.1005
2023-07-31,18,0.0998
2023-08-31,2,0.0713
2023-08-31,3,0.0794
2023-08-31,4,0.0867
2023-08-31,5,0.0922
2023-08-31,6,0.0985
2023-08-31,7,0.1027
2023-08-31,8,0.1049
2023-08-31,9,0.106
2023-08-31,10,0.1067
2023-08-31,11,0.1072
2023-08-31,12,0.1071
2023-08-31,13,0.1064
2023-08-31,14,0.1061
2023-08-31,15,0.1063
2023-08-31,16,0.1058
2023-08-31,17,0.1054
2023-08-31,18,0.106
2023-09-30,2,0.0601
2023-09-30,3,0.0697
2023-09-30,4,0.0774
2023-09-30,5,0.0868
2023-09-30,6,0.092
2023-09-30,7,0.0924
2023-09-30,8,0.0958
2023-09-30,9,0.096
2023-09-30,10,0.0961
2023-09-30,11,0.0964
2023-09-30,12,0.0967
2023-09-30,13,0.0965
2023-09-30,14,0.0967
2023-09-30,15,0.098
2023-09-30,16,0.0972
2023-09-30,17,0.0974
2023-09-30,18,0.0971
2023-10-31,2,0.0753
2023-10-31,3,0.0843
2023-10-31,4,0.0909
2023-10-31,5,0.0984
2023-10-31,6,0.1007
2023-10-31,7,0.1019
2023-10-31,8,0.1055
2023-10-31,9,0.1092
2023-10-31,10,0.109
2023-10-31,11,0.1104
2023-10-31,12,0.1101
2023-10-31,13,0.1098
2023-10-31,14,0.1092
2023-10-31,15,0.1078
2023-10-31,16,0.1069
2023-10-31,17,0.107
2023-10-31,18,0.1063
2023-11-30,2,0.0676
2023-11-30,3,0.0743
2023-11-30,4,0.0815
2023-11-30,5,0.0848
2023-11-30,6,0.0874
2023-11-30,7,0.0879
2023-11-30,8,0.0877
2023-11-30,9,0.0887
2023-11-30,10,0.0888
2023-11-30,11,0.089
2023-11-30,12,0.0887
2023-11-30,13,0.0896
2023-11-30,14,0.0884
2023-11-30,15,0.0879
2023-11-30,16,0.0866
2023-11-30,17,0.0863
2023-11-30,18,0.0856
2023-12-31,2,0.0942
2023-12-31,3,0.1158
2023-12-31,4,0.1278
2023-12-31,5,0.1366
2023-12-31,6,0.1398
2023-12-31,7,0.1401
2023-12-31,8,0.1391
2023-12-31,9,0.139
2023-12-31,10,0.1398
2023-12-31,11,0.1395
2023-12-31,12,0.1395
2023-12-31,13,0.1394
2023-12-31,14,0.1375
2023-12-31,15,0.1362
2023-12-31,16,0.1353
2023-12-31,17,0.1344
2023-12-31,18,0.1335
2024-01-31,2,0.0946
2024-01-31,3,0.1041
2024-01-31,4,0.1145
2024-01-31,5,0.1195
2024-01-31,6,0.122
2024-01-31,7,0.1224
2024-01-31,8,0.1225
2024-01-31,9,0.1223
2024-01-31,10,0.124
2024-01-31,11,0.1237
2024-01-31,12,0.1228
2024-01-31,13,0.1223
2024-01-31,14,0.1215
2024-01-31,15,0.1203
2024-01-31,16,0.1193
2024-01-31,17,0.1183
2024-01-31,18,0.1177
2024-02-29,2,0.1175
2024-02-29,3,0.1359
2024-02-29,4,0.1469
2024-02-29,5,0.1533
2024-02-29,6,0.1569
2024-02-29,7,0.158
2024-02-29,8,0.158
2024-02-29,9,0.1579
2024-02-29,10,0.1574
2024-02-29,11,0.1566
2024-02-29,12,0.1559
2024-02-29,13,0.1548
2024-02-29,14,0.154
2024-02-29,15,0.1527
2024-02-29,16,0.1511
2024-02-29,17,0.1499
2024-02-29,18,0.149
2024-03-31,2,0.1066
2024-03-31,3,0.1201
2024-03-31,4,0.1334
2024-03-31,5,0.14
2024-03-31,6,0.1442
2024-03-31,7,0.1476
2024-03-31,8,0.1486
2024-03-31,9,0.1496
2024-03-31,10,0.1491
2024-03-31,11,0.1485
2024-03-31,12,0.1478
2024-03-31,13,0.1473
2024-03-31,14,0.1464
2024-03-31,15,0.1451
2024-03-31,16,0.1434
2024-03-31,17,0.1423
2024-03-31,18,0.1412
2024-04-30,2,0.0834
2024-04-30,3,0.1023
2024-04-30,4,0.1156
2024-04-30,5,0.1253
2024-04-30,6,0.1328
2024-04-30,7,0.136
2024-04-30,8,0.1383
2024-04-30,9,0.1387
2024-04-30,10,0.1389
2024-04-30,11,0.1384
2024-04-30,12,0.138
2024-04-30,13,0.1369
2024-04-30,14,0.135
2024-04-30,15,0.1334
2024-04-30,16,0.1321
2024-04-30,17,0.1309
2024-04-30,18,0.1295
2024-05-31,2,0.0882
2024-05-31,3,0.106
2024-05-31,4,0.1206
2024-05-31,5,0.132
2024-05-31,6,0.1385
2024-05-31,7,0.1429
2024-05-31,8,0.1455
2024-05-31,9,0.1464
2024-05-31,10,0.1464
2024-05-31,11,0.1465
2024-05-31,12,0.1465
2024-05-31,13,0.1457
2024-05-31,14,0.1441
2024-05-31,15,0.1426
2024-05-31,16,0.1412
2024-05-31,17,0.1395
2024-05-31,18,0.1358
2024-06-30,2,0.0641
2024-06-30,3,0.0618
2024-06-30,4,0.0626
2024-06-30,5,0.0656
2024-06-30,6,0.068
2024-06-30,7,0.0694
2024-06-30,8,0.0704
2024-06-30,9,0.0705
2024-06-30,10,0.0695
2024-06-30,11,0.0693
2024-06-30,12,0.0691
2024-06-30,13,0.0686
2024-06-30,14,0.0684
2024-06-30,15,0.0676
2024-06-30,16,0.0664
2024-06-30,17,0.0645
2024-06-30,18,0.0628
2024-07-31,2,0.0655
2024-07-31,3,0.0645
2024-07-31,4,0.0661
2024-07-31,5,0.0677
2024-07-31,6,0.0689
2024-07-31,7,0.0695
2024-07-31,8,0.07
2024-07-31,9,0.0692
2024-07-31,10,0.069
2024-07-31,11,0.0689
2024-07-31,12,0.068
2024-07-31,13,0.0673
2024-07-31,14,0.0663
2024-07-31,15,0.0651
2024-07-31,16,0.0631
2024-07-31,17,0.0615
2024-07-31,18,0.0609
2024-08-31,2,0.0862
2024-08-31,3,0.1095
2024-08-31,4,0.1288
2024-08-31,5,0.1424
2024-08-31,6,0.1524
2024-08-31,7,0.16
2024-08-31,8,0.1626
2024-08-31,9,0.164
2024-08-31,10,0.1645
2024-08-31,11,0.1644
2024-08-31,12,0.1638
2024-08-31,13,0.1629
2024-08-31,14,0.1608
2024-08-31,15,0.1553
2024-08-31,16,0.1496
2024-08-31,17,0.1479
2024-08-31,18,0.1464
2024-09-30,2,0.0761
2024-09-30,3,0.0894
2024-09-30,4,0.1024
2024-09-30,5,0.1149
2024-09-30,6,0.1262
2024-09-30,7,0.1322
2024-09-30,8,0.1353
2024-09-30,9,0.1372
2024-09-30,10,0.1384
2024-09-30,11,0.1385
2024-09-30,12,0.1391
2024-09-30,13,0.138
2024-09-30,14,0.1348
2024-09-30,15,0.1309
2024-09-30,16,0.1297
2024-09-30,17,0.1283
2024-09-30,18,0.1263
