mes,produto_grupo,qtd,volume_mm,pct_volume,avg_parcelas
2024-06-30,Personal Loan (PER_CON),627353,243.9,0.472,2.8
2024-06-30,Consumer (CON),917145,148.6,0.2876,2.1
2024-06-30,MA Consumer,546892,79.9,0.1546,2.0
2024-06-30,Micro Consumer,435055,44.3,0.0858,1.7
2024-07-31,Personal Loan (PER_CON),519016,254.8,0.5381,4.1
2024-07-31,Consumer (CON),663439,115.7,0.2443,2.5
2024-07-31,MA Consumer,408957,64.2,0.1355,2.4
2024-07-31,Micro Consumer,354524,38.9,0.0821,2.1
2024-08-31,Personal Loan (PER_CON),609035,224.8,0.4522,2.5
2024-08-31,Consumer (CON),881278,139.2,0.28,2.0
2024-08-31,MA Consumer,572160,81.1,0.1632,1.9
2024-08-31,Micro Consumer,535922,52.0,0.1046,1.7
2024-09-30,Personal Loan (PER_CON),667180,272.4,0.4751,2.9
2024-09-30,Consumer (CON),937104,152.4,0.2657,2.1
2024-09-30,MA Consumer,612745,88.3,0.154,2.0
2024-09-30,Micro Consumer,619861,60.3,0.1051,1.7
2024-10-31,Personal Loan (PER_CON),523766,205.3,0.4679,2.7
2024-10-31,Consumer (CON),719511,118.1,0.269,2.1
2024-10-31,MA Consumer,464429,68.0,0.1551,2.0
2024-10-31,Micro Consumer,481568,47.4,0.1081,1.7
2024-11-30,Personal Loan (PER_CON),544516,215.0,0.4625,2.7
2024-11-30,Consumer (CON),747948,125.5,0.27,2.1
2024-11-30,MA Consumer,479884,72.3,0.1555,2.0
2024-11-30,Micro Consumer,518471,52.1,0.1121,1.7
2024-12-31,Personal Loan (PER_CON),484110,195.1,0.4751,2.7
2024-12-31,Consumer (CON),629670,105.5,0.257,2.2
2024-12-31,MA Consumer,417918,62.6,0.1525,2.0
2024-12-31,Micro Consumer,472149,47.4,0.1155,1.7
2025-01-31,Personal Loan (PER_CON),361580,122.1,0.3899,2.5
2025-01-31,Consumer (CON),564449,87.8,0.2804,2.1
2025-01-31,MA Consumer,383233,53.0,0.1693,1.9
2025-01-31,Micro Consumer,553725,50.2,0.1604,1.6
2025-02-28,Personal Loan (PER_CON),397459,163.9,0.462,3.1
2025-02-28,Consumer (CON),547000,89.3,0.2518,2.2
2025-02-28,MA Consumer,374644,54.8,0.1545,2.1
2025-02-28,Micro Consumer,468804,46.8,0.1318,1.9
2025-03-31,Personal Loan (PER_CON),285873,113.4,0.4243,3.0
2025-03-31,Consumer (CON),444606,71.0,0.2657,2.2
2025-03-31,MA Consumer,307779,45.0,0.1685,2.1
2025-03-31,Micro Consumer,355261,37.8,0.1415,2.0
2025-04-30,Personal Loan (PER_CON),217798,92.8,0.4048,3.2
2025-04-30,Consumer (CON),392199,63.5,0.2772,2.3
2025-04-30,MA Consumer,266308,39.9,0.1743,2.2
2025-04-30,Micro Consumer,298128,32.9,0.1437,2.2
2025-05-31,Personal Loan (PER_CON),218554,81.5,0.362,3.7
2025-05-31,Consumer (CON),418267,65.8,0.2925,2.4
2025-05-31,MA Consumer,272889,40.3,0.179,2.4
2025-05-31,Micro Consumer,326733,37.5,0.1665,2.5
2025-06-30,Personal Loan (PER_CON),141902,73.0,0.4299,5.4
2025-06-30,Consumer (CON),269617,43.5,0.2562,2.7
2025-06-30,MA Consumer,176269,27.2,0.1602,2.7
2025-06-30,Micro Consumer,234350,26.1,0.1537,2.8
2025-07-31,Personal Loan (PER_CON),199759,175.5,0.7012,7.7
2025-07-31,Consumer (CON),208087,36.4,0.1453,3.2
2025-07-31,MA Consumer,121567,20.0,0.0801,3.4
2025-07-31,Micro Consumer,157554,18.4,0.0734,3.5
