mes,rating,qtd,volume_mm,pct_volume
2024-06-30,A,286550,65.69,0.1271
2024-06-30,B,448487,98.79,0.1912
2024-06-30,C,291717,63.06,0.122
2024-06-30,D,298852,57.52,0.1113
2024-06-30,E,368313,77.88,0.1507
2024-06-30,M,33534,8.26,0.016
2024-06-30,Z,798987,145.58,0.2817
2024-07-31,A,209185,58.35,0.1232
2024-07-31,B,344135,91.88,0.194
2024-07-31,C,230600,60.04,0.1268
2024-07-31,D,238665,53.8,0.1136
2024-07-31,E,298432,75.34,0.1591
2024-07-31,M,27918,8.51,0.018
2024-07-31,Z,597000,125.7,0.2654
2024-08-31,A,268134,59.74,0.1202
2024-08-31,B,455842,94.64,0.1904
2024-08-31,C,307230,62.95,0.1266
2024-08-31,D,334689,59.32,0.1193
2024-08-31,E,411367,79.96,0.1608
2024-08-31,M,35964,8.35,0.0168
2024-08-31,Z,785159,132.19,0.2659
2024-09-30,A,291269,71.13,0.124
2024-09-30,B,500244,111.33,0.1942
2024-09-30,C,344763,74.96,0.1307
2024-09-30,D,371636,68.29,0.1191
2024-09-30,E,469355,95.39,0.1664
2024-09-30,M,41728,10.25,0.0179
2024-09-30,Z,817887,142.05,0.2477
2024-10-31,A,217624,51.47,0.1173
2024-10-31,B,375891,82.91,0.1889
2024-10-31,C,275773,58.67,0.1337
2024-10-31,D,277822,51.94,0.1183
2024-10-31,E,375410,75.7,0.1725
2024-10-31,M,33883,8.29,0.0189
2024-10-31,Z,632866,109.89,0.2504
2024-11-30,A,225013,54.63,0.1175
2024-11-30,B,387411,87.78,0.1888
2024-11-30,C,296505,63.59,0.1368
2024-11-30,D,282376,53.94,0.116
2024-11-30,E,401755,82.08,0.1766
2024-11-30,M,36859,9.0,0.0194
2024-11-30,Z,660893,113.78,0.2448
2024-12-31,A,185572,45.33,0.1104
2024-12-31,B,332530,75.88,0.1847
2024-12-31,C,262792,57.55,0.1401
2024-12-31,D,253945,49.26,0.1199
2024-12-31,E,368735,75.84,0.1846
2024-12-31,M,31697,7.87,0.0192
2024-12-31,Z,568564,98.99,0.241
2025-01-31,A,157647,33.85,0.1081
2025-01-31,B,295004,56.52,0.1805
2025-01-31,C,241500,44.21,0.1412
2025-01-31,D,237950,37.5,0.1198
2025-01-31,E,368311,60.34,0.1927
2025-01-31,M,29916,6.08,0.0194
2025-01-31,Z,532652,74.61,0.2383
2025-02-28,A,154905,39.47,0.1112
2025-02-28,B,283526,65.21,0.1838
2025-02-28,C,246755,52.31,0.1474
2025-02-28,D,221458,41.44,0.1168
2025-02-28,E,361190,69.79,0.1967
2025-02-28,M,32496,7.77,0.0219
2025-02-28,Z,487572,78.85,0.2222
2025-03-31,A,116095,26.69,0.0999
2025-03-31,B,211968,46.14,0.1727
2025-03-31,C,198305,40.02,0.1498
2025-03-31,D,167874,31.53,0.118
2025-03-31,E,289679,54.91,0.2055
2025-03-31,M,27086,6.24,0.0233
2025-03-31,Z,382510,61.7,0.2309
2025-04-30,A,106426,25.37,0.1107
2025-04-30,B,187034,41.23,0.1799
2025-04-30,C,175700,35.76,0.156
2025-04-30,D,145877,27.26,0.119
2025-04-30,E,241098,46.09,0.2011
2025-04-30,M,23654,5.36,0.0234
2025-04-30,Z,294632,48.08,0.2098
2025-05-31,A,113639,24.73,0.1099
2025-05-31,B,208456,42.23,0.1876
2025-05-31,C,193991,36.73,0.1632
2025-05-31,D,163030,28.67,0.1274
2025-05-31,E,254153,44.3,0.1969
2025-05-31,M,22371,4.38,0.0194
2025-05-31,Z,280800,44.02,0.1956
2025-06-30,A,73855,18.38,0.1083
2025-06-30,B,140673,32.71,0.1927
2025-06-30,C,132515,28.43,0.1675
2025-06-30,D,111789,21.96,0.1294
2025-06-30,E,167559,32.92,0.194
2025-06-30,M,15960,3.7,0.0218
2025-06-30,Z,179787,31.61,0.1863
2025-07-31,A,67734,26.0,0.1039
2025-07-31,B,126621,51.69,0.2065
2025-07-31,C,116695,43.91,0.1754
2025-07-31,D,97548,33.22,0.1327
2025-07-31,E,130494,48.89,0.1953
2025-07-31,M,13130,4.98,0.0199
2025-07-31,Z,134745,41.67,0.1664
